prefixe;libelle;codeuic;coderesarail;codemnemo;tarentaise;localite;banlieue;pang;bipass;particularites;nrzonebanlieue;indicgp;numdep
0;METZERESCHE;87191296;FRBNV;FRBNV;;0;0;0;0;0;0.0;N;57
0;METZERVISSE;87191338;FRBNZ;METZE;;0;0;0;0;0;0.0;N;57
0;METZERVISSE (CENTRE);87406835;FRZCV;FRZCV;;0;0;0;0;0;0.0;N;57
0;METZERVISSE (EGLISE);87406843;FRZCW;FRZCW;;0;0;0;0;0;0.0;N;57
0;METZERVISSE (LOC);57019131;FRWDA;FRWDA;;1;0;0;0;0;0.0;N;57
0;METZING;87193557;FRBSB;FRBSB;;0;0;0;0;;0.0;N;57
0;MEUDON;87393108;FRDIA;MEUDO;;0;0;0;0;0;75.0;N;92
0;MEUDON VAL FLEURY;87393082;FRDHZ;MEUDV;;0;0;0;0;0;75.0;N;92
0;MEUDON/SEINE;87207613;FRMSS;FRMSS;;0;0;0;0;;0.0;N;92
0;MEULAN HARDRICOURT;87381830;FRDDW;MEULA;;0;0;0;0;0;75.0;N;78
0;MEUNG SUR LOIRE;87574137;FREUC;MEUNG;;0;0;0;0;0;0.0;N;45
0;MEURCHIN;87345272;FRDAA;MEURC;;0;0;0;0;0;0.0;N;62
0;MEURSAULT;87713560;FRGXE;MEURS;;0;0;0;0;0;0.0;N;21
0;MEURSAULT (LOC);21071356;FRMET;FRMET;;1;0;0;0;0;0.0;N;21
0;MEURSAULT 11 NOVEMBRE;87393777;FRMEG;FRMEG;;0;0;0;0;0;0.0;N;21
0;MEUSE TGV;87147322;FREAJ;FREAJ;;0;0;0;0;0;0.0;O;55
2;MEUX LA CROIX ST OUEN;87276733;FRCHN;LMEUX;;0;0;0;0;0;0.0;N;60
0;MEUZAC;87450015;FRAMP;CHARI;;0;0;0;0;0;0.0;N;87
0;MEXIMIEUX PEROUGES;87723585;FRHFJ;MEXIM;;0;0;0;0;0;0.0;N;1
0;MEYMAC;87594275;FRMYC;MEYMA;;0;0;0;0;0;0.0;O;19
0;MEYMAC (LOCALITE);19059427;FRMAY;FRMAY;;1;0;0;0;0;0.0;N;19
0;MEYMAC BOURG;87450064;FRJEB;FRJEB;;0;0;0;0;0;0.0;N;19
0;MEYRARGUES;87751370;FRHXO;MEYRA;;0;0;0;0;0;0.0;N;13
3;MEYZE;87592808;FRFIE;LMEYS;;0;0;0;0;0;0.0;N;87
0;MEZERAC (ABRI);87138917;FRUBY;FRUBY;;0;0;0;0;0;0.0;N;12
0;MEZERIAT;87725838;FRHHB;MEZER;;0;0;0;0;0;0.0;N;1
0;MEZIDON;87444208;FRMEZ;MEZID;;0;0;0;0;0;0.0;O;14
0;MEZIN;87464990;FRRDJ;FRRDJ;;0;0;0;0;0;0.0;N;47
0;MIANNAY;87299834;FRCPW;FRCPW;;0;0;0;0;;0.0;N;80
5;MICHEL;87785436;FRIPJ;FRIPJ;;0;0;0;0;;0.0;N;75
5;MICHEL LES PORTES;87747618;FRHWF;SMCHP;;0;0;0;0;0;0.0;N;38
5;MICHEL SUR CHARENTE;87583153;FRSTM;FRSTM;;0;0;0;0;0;0.0;N;16
5;MICHEL SUR MEURTHE;87144683;FRAZN;SMCHM;;0;0;0;0;0;0.0;N;88
